Sequence #,Field name,Field description,Controlled value choices
10,Observation_ID,"The unique identifier of each phenophase status record (subsequently refered to as ""status record"") in the database.",
20,Dataset_ID,"The unique identifier of the dataset to which the status record belongs.  More information can be found in the ancillary data file for ""Dataset"". A value of ""-9999"" indicates the status record was submitted via the online Nature's Notebook application.",
30,ObservedBy_Person_ID,"The unique identifier of the person who made the status observation in the field. More information can be found in the ancillary data file for ""Person"". A value of ""-1"" indicates the identity of the observer is unknown. ",
40,Submission_ID,"The unique identifier of the set of status records originally submitted online in the same, single click of the ""Submit Observations"" button, to which this status record belongs. A value of ""-1"" indicates the record was added to the database as part of an integrated dataset.",
50,SubmittedBy_Person_ID,"The unique identifier of the person who originally submitted the status record online. More information can be found in the ancillary data file for ""Person"".  A value of ""-1"" indicates the record was added to the database as part of an integrated dataset. ",
60,Submission_Datetime,The date and time that the status record was originally sumbitted to the database.,
70,UpdatedBy_Person_ID,"The unique identifier of the person who last updated the status record after original submission online. More information can be found in the ancillary data file for ""Person"". A value of ""-9999"" indicates the record has not been updated since this field was established in July 2014.",
80,Update_Datetime,"The date and time the status record was last updated after original submission online. A value of ""-9999"" indicates the record has not been updated since this field was established in July 2014.",
90,Partner_Group,"The name of the partner group with which the status record is associated.  A value of ""-9999"" indicates the organism being monitored is not associated with a partner group. ",
100,Site_ID,"The unique identifier of the site at which the status record was made. More information can be found in the ancillary data file for ""Site"".",
110,Site_Name,The user-defined name of the site at which the status record was made.,
120,Latitude,"The latitude of the site at which the status record was made. Generally lat/long is calculated from the Google Maps API with a datum of WGS84 (https://developers.google.com/maps), unless a plausible user-defined lat/long was submitted. Information about the datum and source of the lat/long value can be found in the ""Site"" ancillary data file. ",
130,Longitude,"The longitude of the site at which the status record was made. Generally lat/long is calculated from the Google Maps API with a datum of WGS84 (https://developers.google.com/maps), unless a plausible user-defined lat/long was submitted. Information about the datum and source of the lat/long value can be found in the ""Site"" ancillary data file. ",
140,Elevation_in_Meters,"The elevation (in meters) of the site at which the status record was made. Generally elevation is calculated from the Google Maps Elevation API (https://developers.google.com/maps/documentation/elevation/intro), unless a plausible user-defined elevation was submitted. Information about the source of the elevation value can be found in the ""Site"" ancillary data file. A value of ""-9999"" indicates the elevation could not be calculated.",
150,State,"The U.S. state or territory, Mexican state or Canadian province in which the site is located. The state is calculated from lat/long by the Google Maps Geocoding API (https://developers.google.com/maps/documentation/geocoding/intro). A value of ""-9999"" indicates the site does not fall within the boundaries of North America.",
160,Species_ID,The unique identifier of the species for which the status record was made.,
170,Genus,The taxonomic genus of the organism for which the status record was made. Taxonomy follows that in the Integrated Taxonomic Information System (http://itis.gov).,
180,Species,"The taxonomic species of the organism for which the status record was made. Taxonomy follows that in the Integrated Taxonomic Information System (http://itis.gov). In those rare cases where a taxonomic subspecies or varietal is designated, the subspecies or varietal name is appended to the species name after a hypen (e.g. Cornus florida-appalachianspring).",
190,Common_Name,"The common name of the species for which the status record was made. Common names for plants follow those in the USDA PLANTS Database (http://plants.usda.gov), and for animals, in the NatureServe database (http://explorer.natureserve.org).",
200,Kingdom,The taxonomic kingdom of the organism for which the status record was made.,Plantae|Animalia
210,Species_Functional_Type,"The plant ecological type or animal guild of the species for which the status record was made. These functional types are based on the species' phenology protocol assignment, and in a few cases do not correspond with a plant species' established botanical classification (e.g. sub-shrubs that grow more like forbs because woody parts are belowground). Definitions for plant functional types are available at https://docs.google.com/document/d/1eavZ5UzZxiRmfxlmA6t023Z1UD1ggzPbjxBBjPynB0E/pub","Algae|Amphibian|Bird|Cactus|Deciduous broadleaf [tree or shrub]|Deciduous conifer|Evergreen broadleaf [tree or shrub]|Evergreen conifer|Fish|Forb|Graminoid [includes grasses, sedges and rushes]|Insect|Mammal|Reptile|Drought deciduous broadleaf [tree or shrub]|Pine|Semi-evergreen broadleaf [tree or shrub]|Evergreen forb"
220,Species_Category,The categories (separated by commas) to which the species has been assigned. Assignment to these categories is primarily to facilitate finding species of interest on the Nature's Notebook Plants and Animals search page and on the Download Phenology Data page.,Allergen [for plants in a genus listed as having species that are moderate or severe allergens in the Pollen Library database (http://pollenlibrary.com)]|Aquatic [for plants listed as an obligate wetland species in the USDA PLANTS Database (http://plants.usda.gov)]|Calibration [for plants that were part of the original set of USA-NPN calibration species]|Cloned [for plants in the USA-NPN's Cloned Plants Project]|Crop [for plants that are considered crops for human consumption]|Green Wave Campaign [for plants included in this Nature's Notebook campaign]|Invasive [for plants and animals listed as invasive over much of their US range in the Center for Invasive Species and Ecosystem Health database (http://invasive.org)]|Ornamental [for plants commonly used as horticultural ornamentals]|Nectar Connectors Campaign [for plants included in this Nature's Notebook campaign]|Southwest Season Trackers Campaign [for plants included in this Nature's Notebook campaign]|Shady Invaders Campaign [for plants included in this Nature's Notebook campaign]
230,USDA_PLANTS_Symbol,The USDA PLANTS Database (http://plants.usda.gov) symbol of the species for which the status record was made.,
240,ITIS_Number,The Integrated Taxonomic Information System (http://itis.gov) taxonomic serial number of the species for which the status record was made.,
250,Individual_ID,"The unique identifier of the individual plant or the animal species at a site for which the status record was made. Note that for plants, individuals are tracked separately, while for animals, the species as a whole (rather than unique individuals) is tracked at a site. More information can be found in the ancillary data file for ""Individual Plant"".",
260,Plant_Nickname,"The user-defined nickname of the individual plant for which the status record was made. For animals, this field is populated with the species' common name.",
270,Patch,"For plants, indicates whether a delineated patch of many individial stems is the unit of observation instead of a single individual plant.",1 [yes]
280,Protocol_ID,"The unique identifier of the protocol (i.e. the unique suite of phenophases) assigned to the species at the time the status observation was made in the field. More information can be found in the ancillary data files for ""Protocol"" and ""Species Protocol"".",
